        1    0.000    0.000    0.015    0.015 _discrete_distns.py:5(<module>)
        1    0.000    0.000    0.015    0.015 specifiers.py:274(Specifier)
        1    0.001    0.001    0.015    0.015 base64mime.py:25(<module>)
        1    0.001    0.001    0.015    0.015 pyparsing.py:58(<module>)
        1    0.009    0.009    0.015    0.015 series.py:3(<module>)
        1    0.010    0.010    0.015    0.015 array.py:3(<module>)
        1    0.015    0.015    0.015    0.015 irf.py:3(<module>)
       12    0.010    0.001    0.015    0.001 __init__.py:974(_open_file_or_url)
      209    0.009    0.000    0.015    0.000 npyio.py:899(savetxt)
      302    0.014    0.000    0.015    0.000 {__import__}
       59    0.005    0.000    0.015    0.000 _distn_infrastructure.py:1539(pdf)
        1    0.000    0.000    0.014    0.014 util.py:119(find_library)
        1    0.009    0.009    0.014    0.014 utils.py:5(<module>)
        1    0.010    0.010    0.014    0.014 compressed.py:1(<module>)
        1    0.010    0.010    0.014    0.014 random.py:40(<module>)
        1    0.014    0.014    0.014    0.014 linsolve.py:1(<module>)
        1    0.014    0.014    0.014    0.014 manager.py:50(<module>)
        1    0.014    0.014    0.014    0.014 sandwich_covariance.py:103(<module>)
        1    0.014    0.014    0.014    0.014 skip.py:7(<module>)
        2    0.000    0.000    0.014    0.007 __init__.py:640(_get_cachedir)
       29    0.010    0.000    0.014    0.000 gradients.py:50(gradXWSigmaOfuncSEK)
        1    0.002    0.002    0.013    0.013 eval.py:4(<module>)
        1    0.004    0.004    0.013    0.013 arcgis.py:3(<module>)
        1    0.005    0.005    0.013    0.013 urllib2.py:76(<module>)
        1    0.011    0.011    0.013    0.013 sysconfig.py:10(<module>)
        1    0.013    0.013    0.013    0.013 cov_struct.py:1(<module>)
        1    0.013    0.013    0.013    0.013 multicomp.py:78(<module>)
        1    0.013    0.013    0.013    0.013 regressionplots.py:12(<module>)
       29    0.001    0.000    0.013    0.000 VOI.py:570(hvoi)
        4    0.013    0.003    0.013    0.003 {posix.unlink}
        1    0.011    0.011    0.012    0.012 ElementTree.py:59(<module>)
        1    0.011    0.011    0.012    0.012 signaltools.py:4(<module>)
        1    0.012    0.012    0.012    0.012 _kernel_base.py:4(<module>)
        1    0.012    0.012    0.012    0.012 measurements.py:31(<module>)
    21540    0.012    0.000    0.012    0.000 {built-in method __new__ of type object at 0x788ee0}
        1    0.001    0.001    0.011    0.011 highlevel.py:6(<module>)
        1    0.003    0.003    0.011    0.011 frequencies.py:1(<module>)
      102    0.000    0.000    0.011    0.000 genericpath.py:38(isdir)
       11    0.003    0.000    0.011    0.001 artist.py:957(_get_setters_and_targets)
       18    0.009    0.000    0.011    0.001 collections.py:288(namedtuple)
       39    0.000    0.000    0.011    0.000 __init__.py:2604(_get_metadata)
     6862    0.011    0.000    0.011    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.010    0.010 core.py:1(<module>)
        1    0.009    0.009    0.010    0.010 loader.py:1(<module>)
        1    0.010    0.010    0.010    0.010 __init__.py:119(<module>)
    10438    0.008    0.000    0.010    0.000 inspect.py:67(ismethod)
       12    0.000    0.000    0.010    0.001 contextlib.py:21(__exit__)
